R_blocks,G_blocks,B_blocks,assigned row,assigned col,Path
242,82,242,3,16,
89,62,226,4,11,
174,32,122,12,21,
38,192,119,2,15,
194,153,77,2,4,
80,176,203,4,10,
57,160,78,2,17,
8,192,86,1,16,
80,17,156,4,7,
229,233,42,4,8,
95,31,168,3,5,
28,114,176,9,16,
12,172,193,8,17,
62,6,162,3,9,
44,150,156,9,15,
187,5,126,12,19,
83,25,54,12,20,
188,37,108,3,17,
96,119,152,2,16,
175,36,198,3,6,
11,244,180,4,9,
225,156,131,3,10,
223,123,119,1,15,
16,233,175,8,16,
117,189,10,8,6,
122,106,205,3,4,
184,12,153,6,17,
220,119,7,4,6,
152,184,209,8,18,
184,101,190,3,7,
160,152,224,8,15,
182,31,99,2,9,
190,162,125,10,4,
159,216,55,5,12,
92,87,14,12,18,
233,83,113,2,5,
234,137,4,6,21,
125,33,3,6,0,
202,95,158,4,12,
242,68,127,9,7,
171,219,37,9,6,
157,71,90,6,16,
145,196,208,8,19,
17,7,209,8,21,
101,82,202,8,14,
12,44,149,9,18,
195,241,40,3,15,
151,173,183,9,17,
43,116,77,2,8,
92,82,104,5,11,
6,97,22,8,8,
0,212,130,5,17,
138,240,55,3,3,
91,22,69,7,0,
133,84,190,3,8,
60,193,198,8,20,
137,101,27,6,1,
143,89,242,5,18,
115,141,205,8,13,
162,109,110,5,21,
134,138,151,5,20,
65,58,46,6,8,
11,3,102,10,19,
128,3,165,10,6,
53,163,161,9,20,
109,156,171,5,19,
61,32,39,6,7,
151,138,122,2,6,
116,153,102,2,7,
104,93,142,9,19,
211,203,61,2,3,
21,181,50,5,16,
159,122,25,5,10,
157,226,172,9,21,
105,25,236,7,17,
199,188,198,9,14,
133,91,245,9,13,
57,29,254,9,12,
110,244,214,7,18,
94,215,35,10,5,
109,159,32,7,20,
56,110,46,10,3,
106,248,29,8,12,
155,227,190,5,15,
215,203,170,7,2,
96,142,43,10,7,
26,38,8,4,0,
45,71,3,6,4,
3,254,16,7,19,
251,51,231,5,13,
15,167,209,7,16,
124,230,165,5,14,
80,205,252,4,13,
252,146,153,6,14,
158,192,127,10,16,
201,140,59,7,21,
203,129,196,4,14,
45,13,194,4,16,
243,89,103,6,13,
234,176,9,6,15,
118,4,55,6,9,
206,83,134,5,22,
239,165,105,4,17,
213,159,104,4,15,
239,119,196,4,18,
160,35,223,4,19,
89,215,27,4,20,
173,55,246,4,21,
209,90,139,7,1,
194,81,238,3,11,
242,116,218,9,22,
187,126,149,9,8,
21,227,37,3,12,
142,22,15,6,3,
118,19,208,3,14,
37,72,76,6,20,
254,192,16,6,19,
57,77,117,3,18,
119,75,76,7,3,
125,22,216,3,19,
79,33,65,6,2,
198,12,226,3,20,
14,172,168,3,13,
106,60,160,10,21,
144,150,52,6,18,
169,228,223,10,20,
167,225,213,10,15,
2,220,230,3,21,
106,92,69,6,11,
196,252,186,4,22,
187,200,131,10,18,
57,211,199,10,17,
34,93,56,1,17,
113,161,104,11,21,
132,125,64,6,12,
173,113,193,2,13,
124,52,128,9,11,
152,98,148,2,12,
13,58,127,1,13,
243,232,199,2,2,
117,136,211,10,14,
191,51,85,4,5,
230,160,243,7,15,
149,143,82,8,22,
68,34,166,2,11,
197,164,58,6,10,
197,116,128,3,2,
248,172,23,8,7,
206,133,207,2,10,
178,39,119,7,4,
47,25,42,6,6,
135,144,22,5,9,
39,42,128,2,18,
183,13,240,8,11,
114,37,61,7,5,
111,65,251,10,13,
179,123,40,11,22,
200,132,24,3,1,
54,233,185,1,12,
76,228,138,2,14,
82,211,53,2,19,
80,81,153,10,12,
213,197,151,1,11,
175,206,181,2,20,
87,74,168,10,22,
45,77,46,11,4,
252,253,203,1,8,
235,220,154,1,14,
51,174,68,10,11,
156,45,102,2,21,
181,238,130,1,7,
110,97,2,7,6,
135,133,47,2,1,
111,222,23,1,4,
50,251,136,3,22,
17,192,156,1,9,
203,218,27,10,10,
25,10,41,7,22,
154,80,215,7,14,
127,23,47,6,5,
136,69,214,1,5,
231,97,123,9,5,
113,88,240,1,6,
108,237,160,1,10,
232,89,174,1,18,
176,78,31,5,8,
215,180,73,11,17,
75,31,132,1,19,
114,199,227,1,20,
20,7,166,8,10,
252,24,30,6,22,
94,80,56,10,8,
141,7,148,1,21,
129,42,152,1,3,
223,165,114,0,13,
126,207,116,0,14,
201,240,31,0,16,
72,74,251,0,17,
100,222,93,0,18,
38,38,26,5,5,
78,97,235,0,19,
28,72,55,2,0,
196,10,138,0,15,
24,97,11,12,17,
251,133,25,3,0,
33,42,238,2,22,
47,22,110,10,1,
201,124,60,11,18,
169,71,151,11,20,
16,182,181,0,12,
116,210,125,0,20,
246,18,182,11,19,
190,235,15,0,8,
50,25,45,5,7,
216,198,237,0,9,
26,105,10,9,9,
80,116,107,0,10,
64,154,163,0,11,
221,16,161,1,2,
63,171,65,11,16,
105,172,97,11,14,
141,42,6,8,5,
43,82,17,8,9,
26,206,31,1,1,
231,54,167,0,7,
6,48,249,0,21,
94,203,69,11,13,
102,74,28,11,8,
48,80,77,11,15,
254,32,43,4,4,
205,64,176,0,6,
8,226,227,0,4,
169,102,168,0,5,
140,13,128,1,22,
148,19,81,12,16,
49,93,185,11,12,
132,127,197,0,3,
154,241,0,11,5,
243,80,67,10,0,
56,16,73,11,6,
204,42,254,11,11,
170,45,207,11,7,
35,168,21,11,10,
157,134,247,9,10,
116,149,24,10,9,
174,223,191,0,2,
67,23,133,11,3,
63,154,127,1,0,
248,25,175,12,15,
89,80,178,11,9,
48,6,5,9,0,
150,59,61,5,6,
81,149,198,7,13,
45,15,7,8,0,
40,138,196,11,2,
80,71,23,5,4,
209,65,37,4,3,
99,42,4,5,1,
112,243,62,10,2,
31,171,133,11,1,
224,167,179,0,1,
216,125,5,7,7,
185,7,220,11,0,
253,178,196,12,14,
73,231,48,0,22,
88,95,84,4,2,
38,240,36,0,0,
21,216,201,12,13,
155,158,88,4,1,
49,221,159,9,4,
91,102,117,7,8,
98,105,32,5,2,
48,253,5,7,12,
64,122,59,12,12,
142,129,51,5,3,
186,211,81,7,11,
42,82,19,5,0,
19,68,82,7,9,
93,207,61,12,11,
138,17,200,9,3,
85,161,61,12,7,
151,124,114,12,8,
61,17,206,12,9,
194,208,27,7,10,
73,220,223,12,10,
53,224,45,12,1,
100,178,122,12,2,
191,48,75,12,3,
88,172,142,12,4,
252,230,64,12,5,
35,250,234,12,6,
242,238,87,12,0,
192,11,167,8,3,
56,91,213,8,4,
33,92,9,8,2,
181,188,123,8,1,
27,175,137,9,1,
42,4,138,0,0,
60,145,156,12,22,
