0,0,253,178,37
0,1,253,186,64
0,2,247,195,79
0,3,238,165,67
0,4,253,176,40
0,5,27,17,3
1,0,253,187,60
1,1,183,178,84
1,2,186,180,89
1,3,217,186,122
1,4,254,186,67
1,5,27,19,4
2,0,254,189,71
2,1,165,195,91
2,2,212,154,65
2,3,223,186,140
2,4,254,193,81
2,5,27,19,5
3,0,250,178,54
3,1,173,183,74
3,2,207,197,60
3,3,239,201,86
3,4,250,179,61
3,5,27,18,4
4,0,239,129,17
4,1,240,138,35
4,2,240,157,34
4,3,241,150,30
4,4,240,134,19
4,5,26,14,1
5,0,25,12,1
5,1,25,13,1
5,2,25,13,1
5,3,25,13,1
5,4,26,14,1
5,5,3,1,0
