58,55,75
41,150,36
4,233,97
109,204,72
241,98,250
51,87,53
28,246,187
84,214,35
12,4,51
35,16,165
179,95,204
110,167,230
100,203,29
96,93,60
173,250,68
229,230,59
24,191,172
24,200,60
162,8,175
60,253,214
220,253,44
207,242,50
117,225,64
64,56,70
61,182,241
200,158,217
214,144,251
236,212,230
226,119,134
90,216,214
56,228,191
180,164,99
160,31,237
174,14,29
101,108,97
97,221,19
145,69,106
9,91,41
22,134,241
183,168,224
100,170,85
93,161,148
165,146,32
159,36,21
8,40,106
187,132,129
102,169,254
41,167,16
92,37,54
80,30,63
87,60,25
211,51,81
37,174,203
58,200,70
30,40,123
161,89,237
246,139,46
81,166,140
194,224,194
208,181,18
104,218,81
224,57,13
191,91,47
30,147,205
146,3,98
165,19,251
53,223,169
100,159,249
3,204,28
220,210,84
27,100,61
85,184,113
246,109,34
168,190,209
64,11,60
232,27,188
193,137,119
118,211,102
173,14,138
241,25,96
116,74,214
101,190,108
58,178,128
19,138,209
218,159,128
182,121,211
58,111,113
0,63,30
219,143,176
185,124,44
163,49,192
202,226,34
146,168,205
126,189,203
100,180,178
228,22,46
26,82,238
16,197,156
157,156,178
225,36,248
1,140,99
192,7,250
253,186,94
57,110,19
94,246,139
28,15,193
4,82,163
8,239,98
125,7,74
10,140,9
217,179,209
32,88,177
239,216,162
109,213,6
113,72,206
120,64,99
172,53,68
224,14,96
226,140,36
170,18,237
164,62,146
211,220,234
202,10,253
42,24,104
81,35,105
6,133,252
125,225,85
139,24,177
87,227,150
142,94,19
230,61,48
142,234,90
251,236,79
33,182,181
203,89,10
26,77,19
20,48,30
3,200,254
143,236,19
11,120,5
156,47,27
48,184,7
121,49,74
3,108,156
143,42,87
245,236,252
209,5,85
85,83,16
113,121,106
178,168,191
55,1,239
174,98,61
161,228,49
183,217,150
12,160,49
48,153,58
157,63,156
249,179,66
111,52,252
233,66,144
105,168,92
153,145,142
14,120,9
97,219,247
65,69,172
53,40,12
84,34,69
188,93,177
216,224,132
155,103,18
201,83,146
100,25,70
10,118,240
154,188,6
62,37,205
1,60,56
30,77,75
59,15,6
146,55,217
27,202,215
125,38,72
41,120,111
31,76,144
2,35,221
202,149,209
219,36,127
23,151,50
33,137,234
159,125,155
110,97,26
98,33,240
169,163,146
25,171,212
69,227,59
118,12,149
47,222,97
209,191,187
209,173,152
248,203,47
49,112,106
78,233,212
159,46,79
151,133,183
134,45,169
31,173,211
115,72,196
179,35,144
198,97,193
196,97,152
170,78,140
225,170,127
122,129,187
118,94,83
84,104,81
53,146,8
221,175,10
90,241,178
198,72,85
153,249,21
175,50,9
53,190,2
106,139,50
36,28,145
186,121,195
70,57,213
58,194,181
8,49,178
62,142,168
153,5,158
94,33,172
227,81,42
223,126,161
252,100,235
247,224,129
201,80,28
228,82,111
31,144,90
203,182,43
178,200,15
116,37,112
168,43,23
125,2,192
81,91,107
145,133,109
25,66,65
220,199,188
146,152,97
247,27,162
235,128,118
224,242,47
63,14,113
78,175,18
91,222,56
55,124,61
109,168,244
187,191,194
210,116,5
41,146,92
247,80,203
4,129,184
100,54,212
101,214,229
63,236,45
53,156,233
204,216,190
162,88,130
8,9,99
141,178,141
219,87,178
73,18,107
23,43,155
182,228,123
243,124,201
229,201,223
150,150,9
220,8,145
240,80,212
18,129,123
248,43,27
11,34,198
92,72,164
230,213,89
112,140,225
57,239,138
159,208,254
246,189,139
235,37,32
2,6,27
84,30,223
118,217,122
64,190,242
31,12,233
216,208,20
158,75,64
175,211,74
113,31,101
247,22,120
10,100,100
93,197,29
19,106,36
142,187,151
243,99,167
234,66,168
199,13,169
116,248,7
234,251,193
224,243,245
205,17,46
253,75,132
206,37,209
227,145,180
94,178,31
90,24,130
75,76,127
188,45,22
19,94,174
209,43,94
120,243,4
26,152,141
79,217,148
242,132,65
249,195,203
151,121,180
109,37,35
144,10,109
115,166,128
21,63,89
68,12,170
179,233,3
249,49,127
199,106,159
177,21,218
234,90,221
99,51,247
230,107,115
202,78,166
245,21,131
157,80,226
19,101,51
88,198,145
112,225,103
32,145,227
62,36,206
233,111,93
105,234,217
207,70,83
153,177,37
170,1,79
250,157,7
65,182,110
20,124,191
42,13,145
83,20,207
253,55,55
143,122,218
206,185,152
178,193,201
66,217,113
158,148,219
118,150,91
215,177,93
187,30,83
7,55,212
35,196,115
99,230,9
106,106,155
175,198,48
143,68,203
138,200,93
44,126,116
233,172,109
157,137,8
124,188,231
148,10,222
179,53,95
149,82,235
81,78,137
161,208,0
139,111,214
189,53,248
38,23,237
236,237,192
55,167,229
215,32,80
249,132,111
254,118,191
106,35,250
144,183,75
195,169,217
131,141,97
208,64,85
17,65,131
177,253,149
42,212,68
58,105,18
242,54,43
36,172,230
142,54,76
231,185,10
187,6,245
17,110,140
15,40,17
53,148,61
70,44,219
62,17,51
220,109,3
101,78,209
191,155,72
113,184,114
117,142,95
197,226,246
126,194,10
150,60,116
79,61,171
222,89,65
185,172,207
93,120,5
141,4,187
85,54,9
18,157,18
131,135,90
108,11,4
214,17,238
9,141,220
248,115,6
117,71,224
214,168,54
226,201,76
167,206,108
141,222,141
190,131,167
197,160,238
28,83,33
73,128,29
202,113,186
195,93,138
110,184,63
220,40,249
88,235,180
244,226,213
218,19,61
202,100,110
15,179,210
59,112,11
125,249,176
251,205,31
249,146,42
251,178,132
14,8,219
175,196,11
108,227,81
239,51,129
42,25,48
88,202,230
108,239,93
77,46,11
71,161,222
110,194,225
83,38,67
121,246,183
182,188,180
224,239,152
198,144,222
160,191,3
11,67,143
220,205,14
166,123,82
185,232,254
68,29,10
231,81,84
33,84,3
2,171,86
43,87,130
207,213,77
56,37,16
118,26,236
202,83,76
90,86,182
203,176,148
97,169,155
68,237,36
198,11,68
48,26,233
90,120,151
196,232,201
54,81,160
180,91,25
83,216,14
35,29,240
195,224,25
103,250,202
209,241,113
201,210,112
152,210,63
188,239,235
84,32,13
179,247,12
1,126,13
62,40,173
45,182,56
191,87,85
125,215,156
215,244,91
200,43,207
73,63,244
81,244,193
248,2,44
239,41,26
253,43,72
223,233,144
