R_blocks,G_blocks,B_blocks,assigned row,assigned col,Path
66,13,100,19,68,
20,123,31,42,26,
161,223,16,5,51,
137,244,185,8,64,
97,91,204,21,91,
158,5,29,22,25,
93,234,63,56,56,
254,113,200,64,72,
179,78,90,12,16,
93,219,36,55,58,
94,132,112,27,125,
110,39,202,22,95,
57,107,240,13,81,
65,129,49,41,30,
80,68,110,26,97,
184,157,41,6,52,
227,138,32,45,120,
205,39,90,12,19,
34,71,11,46,34,
142,11,126,31,33,
143,80,122,27,6,
157,175,245,7,64,
105,180,60,54,58,
69,8,183,20,92,
224,151,147,65,69,
20,160,210,0,81,
137,107,148,70,90,
191,207,177,32,127,
142,234,78,8,59,
162,43,214,18,81,
91,61,12,44,57,
70,74,164,6,85,
74,253,95,51,12,
27,11,182,14,86,
52,123,50,41,28,
240,156,26,62,127,
237,1,205,11,18,
119,120,167,71,68,
136,9,43,11,12,
248,52,27,7,27,
107,184,91,12,63,
105,251,236,3,76,
135,217,158,10,63,
246,94,135,9,28,
199,72,232,64,73,
40,159,254,11,78,
88,18,134,25,67,
68,93,216,14,80,
178,50,144,11,17,
42,199,237,8,77,
254,47,54,8,27,
213,86,11,4,32,
105,57,217,6,83,
174,203,36,5,52,
21,190,19,41,27,
144,240,72,32,123,
229,223,185,38,125,
199,56,99,11,19,
186,69,12,8,38,
207,75,187,10,17,
86,167,45,55,57,
224,5,96,8,29,
127,239,163,51,13,
166,77,238,64,74,
232,161,175,66,69,
123,139,170,70,68,
147,249,226,6,67,
195,103,237,65,74,
26,59,63,16,71,
250,242,25,1,46,
65,142,117,57,13,
222,75,158,10,16,
129,150,17,15,56,
92,61,20,48,60,
6,231,249,6,78,
206,188,242,71,79,
249,209,61,2,47,
201,95,216,65,73,
74,116,126,71,66,
38,216,25,52,10,
18,149,107,51,11,
194,249,247,1,66,
46,77,179,21,95,
5,206,89,52,11,
202,77,20,6,34,
218,106,64,4,36,
198,163,102,5,54,
151,243,21,3,47,
189,21,169,10,18,
149,109,194,68,85,
90,18,99,26,65,
142,186,229,8,65,
94,18,5,25,33,
215,77,72,9,29,
248,24,173,8,28,
218,185,139,41,118,
237,98,32,3,33,
171,196,9,5,49,
181,193,27,4,48,
133,135,84,9,58,
168,51,60,12,35,
202,55,184,63,73,
25,130,2,42,25,
227,35,164,62,72,
207,163,125,41,116,
62,215,213,0,78,
157,166,144,6,58,
89,220,2,54,56,
64,161,74,56,11,
201,155,201,66,75,
204,152,80,5,53,
119,248,177,8,66,
40,107,6,42,28,
140,82,76,26,5,
45,243,175,1,80,
242,197,109,67,127,
197,234,73,68,126,
113,51,54,25,6,
251,13,129,7,28,
147,26,151,27,5,
190,203,115,3,55,
221,241,248,0,62,
43,53,37,37,5,
123,135,241,11,70,
3,254,153,71,35,
188,178,123,37,121,
